Name_ID,Gender,Breed,Age,Animal Type,Weight,Brought to Shelter,Kennel Location,Scrape Date,age_numeric,Weight_num,Name,ID,location_simple,kennel_name,kennel_num,side,Days_at_shelter,result
COAL (A1236688),Male,Pit Bull Terrier mix,"1 year, 1 month old",Dog,42 pounds,2024-12-13,TOOMEYD21,2024-12-30,1.0,42.0,COAL,1236688,Toomey,TOOMEYD,21,,17,Looking for Furever Home
KNIGHTLY (A1234837),Male,Pit Bull Terrier,4 years old,Dog,55 pounds,2024-12-13,ADOPT 12L,2024-12-30,4.0,55.0,KNIGHTLY,1234837,Byrum,ADOPT ,12,L,17,Looking for Furever Home
KING (A1237395),Male,German Shepherd Dog,4 years old,Dog,56 pounds,2024-12-12,DOGNCARE 2,2024-12-30,4.0,56.0,KING,1237395,Byrum,DOGNCARE ,2,,18,Looking for Furever Home
CUPCAKE (A1237494),Female,Pit Bull Terrier mix,2 years,Dog,32 pounds,2024-12-11,FOSTER,2024-12-30,2.0,32.0,CUPCAKE,1237494,Foster,FOSTER,,,19,Looking for Furever Home
MELLOW (A1237509),Male,Boxer and Labrador Retriever,6 months old,Dog,27 pounds,2024-12-11,FOSTER,2024-12-30,0.5,27.0,MELLOW,1237509,Foster,FOSTER,,,19,Looking for Furever Home
OLIVER (A1237510),Male,German Shepherd Dog,2 years,Dog,59 pounds,2024-12-11,FOSTER,2024-12-30,2.0,59.0,OLIVER,1237510,Foster,FOSTER,,,19,Looking for Furever Home
OSA (A1153381),Female,German Shepherd Dog,6 years old,Dog,71 pounds,2024-12-11,DOGNCARE 2,2024-12-30,6.0,71.0,OSA,1153381,Byrum,DOGNCARE ,2,,19,Looking for Furever Home
WES (A1228042),Male,Pit Bull Terrier,"1 year, 7 months old",Dog,63 pounds,2024-12-11,FOSTER,2024-12-30,1.0,63.0,WES,1228042,Foster,FOSTER,,,19,Looking for Furever Home
BANDIT (A1231316),Male,German Shepherd Dog and Siberian Husky,4 years old,Dog,49 pounds,2024-12-11,FOSTER,2024-12-30,4.0,49.0,BANDIT,1231316,Foster,FOSTER,,,19,Looking for Furever Home
STELLA ROSE (A1232312),Female,Pit Bull Terrier,5 years old,Dog,45 pounds,2024-12-10,FOSTER,2024-12-30,5.0,45.0,STELLA ROSE,1232312,Foster,FOSTER,,,20,Looking for Furever Home
DAWSON (A1235744),Male,Breed information is not provided by this shelter,10 months old,Dog,40 pounds,2024-12-10,FOSTER,2024-12-30,0.8333333333333334,40.0,DAWSON,1235744,Foster,FOSTER,,,20,Looking for Furever Home
SPOT (A1233334),Male,American Bulldog and Boxer,"1 year, 3 months old",Dog,30 pounds,2024-12-10,FOSTER,2024-12-30,1.0,30.0,SPOT,1233334,Foster,FOSTER,,,20,Looking for Furever Home
BELLA (A5102656),Female,Pit Bull Terrier mix,11 years old,Dog,42 pounds,2024-12-10,FOSTER,2024-12-30,11.0,42.0,BELLA,5102656,Foster,FOSTER,,,20,Looking for Furever Home
JINGLE (A1237401),Male,Pit Bull Terrier mix,8 years old,Dog,36 pounds,2024-12-09,TOOMEYD11,2024-12-30,8.0,36.0,JINGLE,1237401,Toomey,TOOMEYD,11,,21,Looking for Furever Home
TT (A5118872),Female,Pit Bull Terrier,11 years old,Dog,60 pounds,2024-12-08,DOGNCARE 1,2024-12-30,11.0,60.0,TT,5118872,Byrum,DOGNCARE ,1,,22,Looking for Furever Home
LOKI (A1235021),Male,Breed information is not provided by this shelter,"2 years, 2 months old",Dog,70 pounds,2024-12-08,FOSTER,2024-12-30,2.0,70.0,LOKI,1235021,Foster,FOSTER,,,22,Looking for Furever Home
DAPHNE (A1237012),Female,Pit Bull Terrier,6 years old,Dog,44 pounds,2024-12-08,FOSTER,2024-12-30,6.0,44.0,DAPHNE,1237012,Foster,FOSTER,,,22,Looking for Furever Home
