Name,Gender,Breed,Age,Animal Type,Weight,Brought to Shelter,Located At,Kennel Location,Qualified For,Scrape Date
ASPEN (A1229581),Female,Pit Bull Terrier,3 years old,Dog,51 pounds,2024.11.26,Charlotte-Mecklenburg Animal Services,FOSTER,adopt,2024-12-08
PRESTON (A1219580),Male,Labrador Retriever and Pit Bull Terrier,"2 years, 1 month old",Dog,49 pounds,2024.11.26,Charlotte-Mecklenburg Animal Services,FOSTER,adopt,2024-12-08
ATHENA (A1197186),Female,Pit Bull Terrier,4 years old,Dog,56 pounds,2024.11.26,Charlotte-Mecklenburg Animal Services,LST 11R,adopt,2024-12-08
BLOSSOM (A1236131),Female,Siberian Husky,,Dog,40 pounds,2024.11.26,Charlotte-Mecklenburg Animal Services,FOSTER,adopt,2024-12-08
LUNA (A1236346),Female,Pit Bull Terrier,"2 years, 1 month old",Dog,50 pounds,2024.11.26,Charlotte-Mecklenburg Animal Services,FOSTER,adopt,2024-12-08
BABY DIESEL (A1236621),Male,Pit Bull Terrier mix,,Dog,40 pounds,2024.11.26,Charlotte-Mecklenburg Animal Services,FOSTER,adopt,2024-12-08
WINNIE (A1236633),Female,Labrador Retriever,"1 year, 1 month old",Dog,42 pounds,2024.11.26,Charlotte-Mecklenburg Animal Services,FOSTER,adopt,2024-12-08
WILBUR (A1236981),Male,Pit Bull Terrier,"1 year, 1 month old",Dog,64 pounds,2024.11.26,Charlotte-Mecklenburg Animal Services,ADOPT 17R,adopt,2024-12-08
BUCKY (A1236991),Male,Pit Bull Terrier,"1 year, 1 month old",Dog,51 pounds,2024.11.26,Charlotte-Mecklenburg Animal Services,ADOPT 06L,adopt,2024-12-08
A1237010,Male,Breed information is not provided by this shelter,,Dog,20 pounds,2024.11.26,Charlotte-Mecklenburg Animal Services,ADOPT 03L,adopt,2024-12-08
DAPHNE (A1237012),Female,Pit Bull Terrier,6 years old,Dog,52 pounds,2024.11.26,Charlotte-Mecklenburg Animal Services,ADOPT 08L,adopt,2024-12-08
SAGE (A1237013),Female,Pit Bull Terrier mix,5 months old,Dog,23 pounds,2024.11.26,Charlotte-Mecklenburg Animal Services,FOSTER,adopt,2024-12-08
SCARLETT (A1236928),Female,Pit Bull Terrier,5 years old,Dog,33 pounds,2024.11.25,Charlotte-Mecklenburg Animal Services,ADOPT 20L,adopt,2024-12-08
